Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10,ProductHouse
2,45.0,1,0,0,1,145.0,32222.0,1,1,0,0,1,0,0,1,0,0,0,0
4,198.0,0,0,1,1,750.0,37878.0,1,1,0,0,0,0,1,1,0,0,0,1
2,60.0,1,0,1,1,120.0,20000.0,1,0,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,1,1,150.0,35714.0,0,1,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,1,1,190.0,42222.0,1,1,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,148.0,35238.0,1,0,0,0,0,1,0,1,0,0,0,0
1,56.0,1,1,1,1,222.0,39153.0,1,1,0,0,0,1,0,1,0,0,0,1
1,51.0,1,0,0,1,160.0,31372.0,1,1,0,0,1,0,0,1,0,0,0,1
2,42.0,1,0,1,1,116.0,27619.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,160.0,38095.0,1,0,0,0,0,1,0,1,0,0,0,0
1,56.0,1,1,1,1,222.0,39153.0,1,1,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,1,1,199.0,47380.0,1,0,0,0,1,0,0,1,0,0,0,0
2,49.0,1,1,1,1,115.0,23421.0,0,0,0,1,1,0,0,1,0,0,0,0
3,89.0,1,1,1,1,426.0,47865.0,1,1,0,0,1,0,0,1,0,0,0,1
3,87.0,0,1,1,1,370.0,42189.0,1,1,0,0,0,1,0,1,0,0,0,1
2,50.0,0,1,1,0,225.0,45000.0,1,0,1,0,1,0,0,1,0,0,0,0
2,45.0,1,1,1,1,148.0,32888.0,1,1,0,0,1,0,0,1,0,0,0,0
1,51.0,1,1,0,1,135.0,26470.0,1,1,0,0,0,1,0,1,0,0,0,1
2,43.0,1,0,0,1,165.0,38372.0,1,0,0,0,0,1,0,1,0,0,0,0
2,51.0,1,1,1,1,80.0,15686.0,1,1,0,0,1,0,0,1,0,0,0,1
2,51.0,1,1,0,1,80.0,15686.0,1,0,0,0,1,0,0,1,0,0,0,1
2,42.0,1,1,1,1,148.0,35238.0,1,1,0,0,0,1,0,1,0,0,0,0
1,34.0,1,1,0,1,98.0,28340.0,1,1,0,0,0,1,0,1,0,0,0,0
3,60.0,1,1,1,1,230.0,38333.0,1,0,0,0,0,1,0,1,0,0,0,1
3,88.0,0,1,1,1,360.0,40909.0,1,1,0,0,1,0,0,1,0,0,0,1
2,51.0,1,1,1,1,95.0,18627.0,1,0,0,0,1,0,0,1,0,0,0,1
2,50.0,1,1,1,1,180.0,36000.0,1,0,0,0,1,0,0,1,0,0,0,0
2,42.0,1,1,0,1,155.0,36904.0,1,0,1,0,0,0,1,1,0,0,0,0
2,73.0,1,1,1,1,311.0,42602.0,1,1,0,0,0,1,0,1,0,0,0,1
2,45.0,1,1,0,1,145.0,32344.0,1,0,0,0,0,0,1,1,0,0,0,0
4,89.0,1,1,1,1,500.0,56179.0,1,1,0,0,1,0,0,1,0,0,0,1
1,42.0,1,1,0,1,180.0,42857.0,1,0,0,0,0,1,0,1,0,0,0,0
2,48.0,1,1,1,1,175.0,36458.0,1,0,0,0,0,1,0,1,0,0,0,0
2,51.0,1,1,1,1,220.0,43137.0,0,1,0,0,0,1,0,1,0,0,0,1
2,50.0,1,1,1,1,240.0,48000.0,1,0,0,0,0,0,1,1,0,0,0,0
2,45.0,1,1,0,0,186.0,41333.0,1,1,0,0,1,0,0,1,0,0,0,0
1,58.0,1,1,1,1,185.0,32000.0,1,0,0,0,0,0,1,1,0,0,0,1
2,53.0,1,1,0,1,175.0,33018.0,1,1,0,0,1,0,0,1,0,0,0,1
3,106.0,1,0,1,1,310.0,29245.0,1,0,0,0,1,0,0,1,0,0,0,1
2,42.0,1,0,1,1,145.0,34523.0,1,0,0,0,1,0,0,1,0,0,0,0
2,47.0,1,1,1,1,185.0,39361.0,1,1,0,0,1,0,0,1,0,0,0,0
5,129.0,0,1,1,1,498.0,38604.0,1,1,0,0,0,0,1,1,0,0,0,1
2,42.0,1,1,1,1,132.0,31428.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,158.0,37619.0,1,0,0,0,0,1,0,1,0,0,0,0
1,40.0,1,1,1,1,149.0,37250.0,1,1,0,0,1,0,0,1,0,0,0,0
4,129.0,0,1,1,1,430.0,33333.0,1,0,0,0,0,0,1,1,0,0,0,1
2,50.0,1,0,1,1,163.0,32600.0,1,1,0,0,1,0,0,1,0,0,0,0
2,47.0,1,1,0,0,126.0,26808.0,1,1,0,0,0,1,0,1,0,0,0,0
1,50.0,1,1,1,1,150.0,30000.0,1,0,0,0,1,0,0,1,0,0,0,0
2,42.0,1,1,1,1,160.0,38095.0,1,0,1,0,0,1,0,1,0,0,0,0
3,89.0,1,0,1,1,480.0,53872.0,1,0,0,0,0,1,0,1,0,0,0,1
2,45.0,1,1,1,1,128.0,28444.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,155.0,36904.0,1,0,1,0,0,0,1,1,0,0,0,0
1,35.0,1,1,1,1,116.0,33142.0,0,1,0,1,1,0,0,1,0,0,0,0
2,54.0,1,1,0,1,155.0,28703.0,1,0,0,0,0,0,1,1,0,0,0,1
2,51.0,1,0,1,0,90.0,17647.0,1,0,0,0,0,1,0,1,0,0,0,1
2,50.0,1,1,0,1,201.0,40200.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,159.0,37857.0,1,0,0,0,0,1,0,1,0,0,0,0
